at,cpuPercent,memoryMb,throughputPerMin,latencyP50,latencyP95,latencyP99,queuePressure,errorRatio,successRate,activeWorkers
2026-03-01T09:53:00Z,43.54,12505.94,5591.04,127.97,172.33,216.91,0.2418,0.00965,0.95409,7
2026-03-01T09:54:00Z,43.63,12452.73,5580.58,106.93,148.75,188.37,0.3528,0.00307,0.95229,8
2026-03-01T09:55:00Z,46.82,12544.45,5678.38,116.83,163.64,207.49,0.3766,0.01487,0.92879,9
2026-03-01T09:56:00Z,46.77,12482.81,5586.61,130.07,182.38,231.29,0.3804,0.01547,0.92728,9
2026-03-01T09:57:00Z,48.36,12561.41,5504.21,120.3,168.94,214.31,0.3857,0.01867,0.92105,9
2026-03-01T09:58:00Z,46.78,12499.87,5585.32,133.71,190.23,241.89,0.4319,0.00286,0.94318,9
2026-03-01T09:59:00Z,41.75,12525.06,5619.68,127.95,178.03,225.46,0.3534,0.01028,0.9396,8
2026-03-01T10:00:00Z,50.91,12574.61,5671.85,122.56,170.49,215.91,0.3527,0.0093,0.9414,9
2026-03-01T10:01:00Z,50.01,12535.0,5623.31,151.84,213.63,271.09,0.3923,0.02021,0.91756,9
2026-03-01T10:02:00Z,58.76,12482.38,5619.83,122.81,169.54,214.39,0.3263,0.00953,0.94417,10
2026-03-01T10:03:00Z,47.54,12489.61,5566.76,121.08,170.35,216.18,0.3924,0.00731,0.94012,9
2026-03-01T10:04:00Z,44.66,12599.86,5619.57,135.34,194.9,248.37,0.4752,0.00104,0.94115,9
2026-03-01T10:05:00Z,43.7,12497.33,5638.91,119.23,164.46,207.94,0.3233,0.0,0.9612,8
2026-03-01T10:06:00Z,49.53,12675.06,5661.97,140.38,204.01,260.39,0.5082,0.00953,0.92234,10
2026-03-01T10:07:00Z,46.48,12541.9,5662.5,137.57,194.77,247.45,0.4146,0.00443,0.94249,9
2026-03-01T10:08:00Z,49.24,12577.79,5689.05,126.76,179.01,227.31,0.4055,0.01004,0.93377,9
2026-03-01T10:09:00Z,45.12,12560.73,5672.32,126.44,178.76,227.05,0.4096,0.01259,0.92882,9
2026-03-01T10:10:00Z,49.38,12533.09,5630.62,126.18,182.93,233.39,0.4996,0.00894,0.9244,10
2026-03-01T10:11:00Z,46.86,12540.78,5628.19,146.9,201.49,254.5,0.304,0.01363,0.93966,8
2026-03-01T10:12:00Z,50.72,12510.68,5681.46,115.24,160.15,202.77,0.3493,0.00337,0.95218,9
2026-03-01T10:13:00Z,46.42,12571.38,5678.96,123.16,171.68,217.49,0.3599,0.01176,0.93622,9
2026-03-01T10:14:00Z,44.46,12527.17,5682.76,127.26,180.89,229.98,0.4287,0.01895,0.91539,9
2026-03-01T10:15:00Z,48.62,12552.82,5598.82,136.23,191.63,243.18,0.3918,0.005,0.94422,9
2026-03-01T10:16:00Z,48.92,12537.87,5637.35,117.25,165.37,209.94,0.4009,0.01458,0.92639,9
2026-03-01T10:17:00Z,44.17,12563.24,5633.62,125.57,182.62,233.12,0.5109,0.00175,0.93563,10
2026-03-01T10:18:00Z,45.2,12458.42,5691.55,121.62,170.88,216.79,0.3875,0.0,0.9535,9
2026-03-01T10:19:00Z,45.85,12576.33,5630.7,121.85,168.37,212.95,0.3294,0.01686,0.93096,8
2026-03-01T10:20:00Z,47.47,12564.67,5612.4,126.6,174.79,221.03,0.3267,0.00234,0.95671,9
2026-03-01T10:21:00Z,44.09,12548.62,5564.1,129.65,182.32,231.35,0.3907,0.01291,0.93053,9
2026-03-01T10:22:00Z,41.45,12480.54,5580.62,115.16,158.77,200.73,0.3219,0.01127,0.94165,8
