at,cpuPercent,memoryMb,throughputPerMin,latencyP50,latencyP95,latencyP99,queuePressure,errorRatio,successRate,activeWorkers
2026-03-01T09:56:00Z,87.34,21811.24,4406.7,267.85,421.52,545.23,0.8093,0.07998,0.76291,17
2026-03-01T09:57:00Z,85.6,21788.93,4470.27,280.12,444.35,575.49,0.8408,0.06949,0.7775,17
2026-03-01T09:58:00Z,69.17,21832.08,4611.07,242.53,367.99,473.17,0.6683,0.04755,0.83659,14
2026-03-01T09:59:00Z,80.12,21832.25,4526.02,272.6,432.06,559.49,0.8373,0.09852,0.72711,17
2026-03-01T10:00:00Z,80.9,21811.21,4631.95,236.83,364.29,469.47,0.7206,0.07698,0.77881,16
2026-03-01T10:01:00Z,86.48,21867.88,4581.92,273.68,431.38,558.12,0.8155,0.03606,0.83904,17
2026-03-01T10:02:00Z,80.09,21855.27,4640.37,256.76,396.55,511.37,0.736,0.07598,0.77872,16
2026-03-01T10:03:00Z,78.78,21801.32,4655.25,261.04,394.45,506.83,0.6527,0.06077,0.81533,15
2026-03-01T10:04:00Z,72.64,21896.41,4660.94,258.88,404.38,522.43,0.7801,0.0405,0.83551,15
2026-03-01T10:05:00Z,70.32,21807.09,4690.31,235.41,366.42,473.12,0.7663,0.0595,0.80392,15
2026-03-01T10:06:00Z,79.2,21875.61,4639.24,247.8,377.29,485.4,0.6814,0.10573,0.7332,15
2026-03-01T10:07:00Z,76.21,21858.1,4594.56,230.53,352.26,453.47,0.6951,0.05203,0.82552,15
2026-03-01T10:08:00Z,82.38,21826.32,4560.97,263.17,419.11,543.14,0.8564,0.06019,0.7919,17
2026-03-01T10:09:00Z,83.86,21831.95,4549.13,287.05,451.16,583.45,0.8043,0.06326,0.79278,17
2026-03-01T10:10:00Z,77.12,21862.88,4641.57,255.71,379.82,486.62,0.5884,0.07234,0.80279,14
2026-03-01T10:11:00Z,70.72,21819.0,4585.97,225.37,332.6,425.65,0.5645,0.05003,0.84471,13
2026-03-01T10:12:00Z,74.74,21819.29,4657.4,233.8,356.51,458.78,0.6871,0.0627,0.80783,15
2026-03-01T10:13:00Z,74.54,21845.51,4568.46,240.57,357.42,457.95,0.5893,0.04835,0.84467,14
2026-03-01T10:14:00Z,72.06,21792.11,4559.36,230.39,350.64,451.08,0.6799,0.08049,0.77756,14
2026-03-01T10:15:00Z,72.05,21798.93,4614.85,225.35,343.03,441.31,0.6805,0.03464,0.85772,14
2026-03-01T10:16:00Z,87.61,21850.63,4465.67,274.68,436.92,566.11,0.8517,0.10806,0.70869,18
2026-03-01T10:17:00Z,72.84,21816.74,4603.15,235.72,362.37,466.95,0.7182,0.06689,0.79676,15
2026-03-01T10:18:00Z,74.6,21835.56,4668.93,231.56,351.47,451.94,0.6695,0.05235,0.82805,15
2026-03-01T10:19:00Z,69.55,21898.9,4625.04,225.13,341.86,439.62,0.6712,0.07172,0.79395,14
2026-03-01T10:20:00Z,79.84,21687.01,4513.46,258.55,409.86,530.77,0.8381,0.06605,0.78383,17
2026-03-01T10:21:00Z,73.81,21771.59,4605.1,245.57,363.78,465.86,0.5785,0.05758,0.82982,14
2026-03-01T10:22:00Z,72.82,21736.1,4597.43,241.56,367.55,472.81,0.6789,0.04166,0.84563,15
2026-03-01T10:23:00Z,69.99,21900.34,4563.75,239.44,361.8,464.88,0.6525,0.07014,0.79895,14
2026-03-01T10:24:00Z,69.42,21761.19,4568.18,228.08,334.34,427.38,0.5397,0.0434,0.85929,13
2026-03-01T10:25:00Z,70.87,21775.22,4572.94,224.11,335.87,430.97,0.6217,0.04242,0.85116,14
2026-03-01T10:26:00Z,69.5,21696.63,4485.4,219.99,321.23,410.34,0.5255,0.06436,0.8243,13
2026-03-01T10:27:00Z,66.33,21745.18,4537.39,220.68,312.54,397.09,0.4157,0.03875,0.88231,12
2026-03-01T10:28:00Z,69.15,21684.73,4589.06,227.63,333.86,426.8,0.5416,0.01264,0.91288,13
2026-03-01T10:29:00Z,64.01,21691.18,4508.63,228.78,341.25,437.52,0.604,0.07606,0.79442,13
2026-03-01T10:30:00Z,64.56,21671.82,4491.37,229.04,336.17,429.82,0.5444,0.06665,0.81803,12
2026-03-01T10:31:00Z,65.27,21732.11,4596.42,227.7,331.75,423.63,0.5174,0.07475,0.80709,12
2026-03-01T10:32:00Z,77.17,21646.41,4448.41,258.94,405.22,523.68,0.7873,0.05493,0.8094,16
2026-03-01T10:33:00Z,68.56,21707.96,4574.96,226.55,332.0,424.38,0.5387,0.04914,0.84936,13
2026-03-01T10:34:00Z,73.5,21705.09,4533.55,224.45,328.98,420.53,0.5393,0.02431,0.89274,14
2026-03-01T10:35:00Z,68.43,21749.88,4574.88,242.24,361.13,462.97,0.602,0.0502,0.83991,13
2026-03-01T10:36:00Z,64.78,21878.4,4563.46,227.76,339.99,435.96,0.6069,0.031,0.87293,13
2026-03-01T10:37:00Z,86.63,21748.2,4476.58,291.05,468.68,608.43,0.9008,0.11653,0.68797,18
2026-03-01T10:38:00Z,68.83,21862.37,4604.78,251.75,376.28,482.6,0.6116,0.0485,0.84174,13
2026-03-01T10:39:00Z,81.82,21864.44,4478.55,278.18,449.04,583.15,0.9106,0.09417,0.72593,18
2026-03-01T10:40:00Z,70.03,21872.74,4609.04,252.81,379.57,487.19,0.6286,0.04693,0.84244,14
