at,cpuPercent,memoryMb,throughputPerMin,latencyP50,latencyP95,latencyP99,queuePressure,errorRatio,successRate,activeWorkers
2026-03-01T09:58:00Z,59.68,15933.06,7299.4,159.24,226.85,288.52,0.4363,0.02172,0.90963,11
2026-03-01T09:59:00Z,69.97,15985.94,7173.47,200.98,321.42,416.82,0.8731,0.05852,0.79282,16
2026-03-01T10:00:00Z,76.73,15969.92,7181.34,206.67,328.83,426.08,0.8528,0.0582,0.79581,16
2026-03-01T10:01:00Z,62.69,15930.19,7313.72,138.25,206.54,264.88,0.6098,0.00273,0.92205,13
2026-03-01T10:02:00Z,80.9,15894.69,7266.25,207.99,333.27,432.31,0.8808,0.03651,0.83042,17
2026-03-01T10:03:00Z,61.85,15967.54,7333.23,157.74,225.93,287.63,0.4557,0.02705,0.89798,11
2026-03-01T10:04:00Z,72.31,15949.53,7208.89,188.59,292.13,376.91,0.7477,0.04738,0.82737,15
2026-03-01T10:05:00Z,56.37,15985.67,7369.8,139.47,204.45,261.34,0.5398,0.02302,0.89493,11
2026-03-01T10:06:00Z,54.12,15909.48,7312.21,155.9,229.84,294.09,0.5608,0.02883,0.88226,11
2026-03-01T10:07:00Z,52.25,15946.23,7347.73,147.31,218.04,279.18,0.5754,0.0261,0.88527,11
2026-03-01T10:08:00Z,76.62,16009.5,7124.98,218.51,349.84,453.74,0.8775,0.04056,0.82373,17
2026-03-01T10:09:00Z,55.35,15969.32,7320.77,151.62,217.1,276.37,0.4545,0.02585,0.90021,11
2026-03-01T10:10:00Z,50.36,15916.58,7281.1,154.9,226.96,290.09,0.538,0.01254,0.9135,11
2026-03-01T10:11:00Z,60.69,16028.59,7335.92,142.86,205.21,261.39,0.4661,0.00421,0.93671,11
2026-03-01T10:12:00Z,64.18,15952.45,7292.95,142.89,204.89,260.89,0.4596,0.02389,0.90304,12
2026-03-01T10:13:00Z,72.8,15815.41,7160.08,207.92,330.95,428.85,0.8543,0.05372,0.80348,16
2026-03-01T10:14:00Z,56.09,15915.89,7318.38,144.54,208.94,266.43,0.4888,0.01233,0.91976,11
2026-03-01T10:15:00Z,59.25,15886.19,7287.73,141.58,205.88,262.8,0.5103,0.0202,0.90341,11
2026-03-01T10:16:00Z,64.27,15846.6,7181.81,185.24,279.22,358.63,0.6434,0.0427,0.84806,13
2026-03-01T10:17:00Z,60.56,15833.15,7270.1,143.11,204.26,259.88,0.4432,0.01428,0.92183,11
2026-03-01T10:18:00Z,54.47,15813.55,7301.78,139.01,195.07,247.43,0.3834,0.02214,0.91526,10
2026-03-01T10:19:00Z,66.73,15889.97,7130.81,190.51,286.25,367.46,0.6314,0.02823,0.87483,13
2026-03-01T10:20:00Z,56.36,15805.18,7258.21,145.17,204.16,259.07,0.391,0.00911,0.93714,10
2026-03-01T10:21:00Z,50.86,15738.65,7238.18,126.14,173.65,219.49,0.3168,0.01531,0.93519,9
2026-03-01T10:22:00Z,51.85,15813.22,7208.93,146.18,204.18,258.77,0.3671,0.01899,0.92271,9
2026-03-01T10:23:00Z,55.79,15892.65,7251.61,135.87,191.53,243.14,0.3992,0.00758,0.93883,10
2026-03-01T10:24:00Z,58.49,15821.72,7296.46,126.5,175.71,222.45,0.3475,0.01366,0.93439,10
2026-03-01T10:25:00Z,53.05,15880.93,7267.97,131.51,189.89,242.09,0.4847,0.00188,0.93853,11
2026-03-01T10:26:00Z,57.75,15888.6,7303.18,149.64,217.59,277.76,0.5102,0.03735,0.87342,11
2026-03-01T10:27:00Z,60.7,15901.95,7342.1,149.54,217.46,277.58,0.5104,0.02552,0.89409,12
